country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Philippines,0.001,0.001,0.0008875,0.000775,0.000767,0.000571,0.000583,0.000395,0.000425,0.000407,0.000278,0.000262,0.000267,0.000239,0.000182,0.00016199999999999998,0.00014199999999999998,0.000144
Poland,0.0521,0.0618,0.0676,0.0657,0.064,0.0611,0.0454,0.0296,0.017,0.0189,0.0232,0.0254,0.0278,0.0295,0.0256,0.0197,0.0147,0.0107
Portugal,0.0115,0.0114,0.0127,0.0183,0.0211,0.0262,0.027000000000000003,0.0269,0.0249,0.0308,0.0389,0.042,0.0534,0.0595,0.0512,0.0437,0.0378,0.0292
Qatar,,,,,,,,0.00248,0.00248,0.00248,0.002585,0.00269,0.00184,0.00101,0.000788,0.000676,0.0006320000000000001,0.0006389999999999999
Romania,0.026,0.023,0.0308,0.0254,0.0259,0.0227,0.0241,0.0197,0.0153,0.017,0.0179,0.019,0.0188,0.0201,0.0191,0.0198,0.0176,0.0136
Russia,0.0343,0.0254,0.0225,0.0234,0.0227,0.0213,0.0223,0.0185,0.0172,0.0197,0.0199,0.0194,0.015,0.0154,0.0141,0.0152,0.016,0.015
Rwanda,,,,,,,,,,,,,,,,0.0135,0.0135,0.0135
Samoa,,,,,,,,,,,0.00528,0.00528,0.00528,0.00528,0.00528,0.00528,0.00528,0.00528
Saudi Arabia,,,,,,,,0.00889,0.00889,0.00889,0.012844999999999999,0.0168,0.0146,0.0106,0.0119,0.0132,0.0145,0.0145
Senegal,,,,,,,,,,,,,,0.00475,0.00475,0.00475,0.00475,0.00475
Serbia,,,,,,,0.0408,0.0408,0.0408,0.0434,0.052000000000000005,0.0639,0.0689,0.0646,0.0565,0.0496,0.0438,0.0372
Sierra Leone,,,,,,,,,,,,,0.00722,0.00722,0.00722,0.00722,0.00722,0.00722
Slovak Republic,0.0675,0.0733,0.0758,0.0697,0.0753,0.0679,0.0574,0.0468,0.0389,0.0433,0.0594,0.0562,0.0577,0.0598,0.0553,0.0449,0.0367,0.0321
Slovenia,0.026,0.0213,0.0213,0.0228,0.021,0.0217,0.0206,0.0152,0.0129,0.0152,0.0234,0.0255,0.0287,0.0345,0.0339,0.0301,0.027000000000000003,0.0205
South Africa,0.039,0.0292,0.0291,0.0267,0.0236,0.0222,0.0208,0.021,0.0631,0.0658,0.0712,0.0729,0.0727,0.0721,0.0734,0.0752,0.0813,0.0857
South Korea,0.0029100000000000003,0.00243,0.00217,0.0017,0.00203,0.0021100000000000003,0.00195,0.0019,0.00153,0.00164,0.0013,0.00119,0.0014199999999999998,0.00129,0.0014,0.00193,0.0026100000000000003,0.00286
